url	first_seen	portal	title	company	status
https://jobs.ashbyhq.com/vapi/adbc573f-7267-491e-8671-4d5470238aae	2026-04-28	ashby-api	Agent Strategist - SF	Vapi	added
https://jobs.ashbyhq.com/vapi/a69077ea-c968-42ae-bb74-bd782c790211	2026-04-28	ashby-api	Agent Engineer	Vapi	added
https://jobs.ashbyhq.com/vapi/6d2c731b-64be-45cc-87c8-f6330d29b7f4	2026-04-28	ashby-api	Product Manager - Enterprise & Governance Agents	Vapi	added
https://jobs.ashbyhq.com/vapi/7adb10b2-1234-4e4c-b132-f990a91de048	2026-04-28	ashby-api	Agent Engineer - NY	Vapi	added
https://jobs.ashbyhq.com/vapi/72ec9643-39c2-47ae-b04e-cba4e02b0966	2026-04-28	ashby-api	Agent Strategist - NYC	Vapi	added
https://job-boards.greenhouse.io/intercom/jobs/7672152	2026-04-28	greenhouse-api	Growth Data Scientist 	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/7725837	2026-04-28	greenhouse-api	Principal Engineer, Fin AI Agent	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/7749323	2026-04-28	greenhouse-api	Senior Data Scientist	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/7314809	2026-04-28	greenhouse-api	Senior Data Scientist - AI Tooling	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/7606638	2026-04-28	greenhouse-api	Senior Data Scientist AI Tooling	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/6317929	2026-04-28	greenhouse-api	Senior Data Scientist - Product Analytics	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/6949785	2026-04-28	greenhouse-api	Senior Engineer, AI Developer	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/7825849	2026-04-28	greenhouse-api	Senior Engineering Manager, Fin AI Agent	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/7774230	2026-04-28	greenhouse-api	Senior Finance Data Scientist, Existing Business	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/7372016	2026-04-28	greenhouse-api	Senior Machine Learning Scientist	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/6531495	2026-04-28	greenhouse-api	Senior Machine Learning Scientist 	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/7271914	2026-04-28	greenhouse-api	Staff Machine Learning Scientist	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/6654793	2026-04-28	greenhouse-api	Staff Machine Learning Scientist 	Intercom	added
http://stability.ai/careers?gh_jid=4712826101	2026-04-28	greenhouse-api	Generative AI Inference Engineer	Stability AI	added
http://stability.ai/careers?gh_jid=4770256101	2026-04-28	greenhouse-api	Multimodal Generative AI Researcher	Stability AI	added
https://jobs.ashbyhq.com/deepgram/7cf277bc-a192-4007-a77a-fafbf8276a5e	2026-04-28	ashby-api	Research Staff, Voice AI Foundations	Deepgram	added
https://jobs.ashbyhq.com/deepgram/39c2b79b-0269-4711-9354-be5ccf747a98	2026-04-28	ashby-api	Research Staff, LLMs	Deepgram	added
https://jobs.ashbyhq.com/deepgram/9a030b32-d671-43e0-a221-4653bb73ba29	2026-04-28	ashby-api	Research Engineer, Machine Learning Systems	Deepgram	added
https://jobs.ashbyhq.com/deepgram/7c7064bb-2bf0-4f64-81cc-14afe79a15c1	2026-04-28	ashby-api	Backend Software Engineer - Engine Team (Voice Agent)	Deepgram	added
https://jobs.ashbyhq.com/deepgram/4a873ede-8555-42ae-9ddc-ac89afdd7278	2026-04-28	ashby-api	Software Engineer, Voice Agents / AI - Deepgram for Restaurants	Deepgram	added
https://jobs.ashbyhq.com/sierra/422cb7bb-ab03-447b-808c-6d72f59bbd2f	2026-04-28	ashby-api	Product Manager, Agent Data Platform	Sierra AI	added
https://jobs.ashbyhq.com/sierra/effd7cd2-8a28-4bae-a3b8-40720ba09717	2026-04-28	ashby-api	Product Manager, Agent Development	Sierra AI	added
https://jobs.ashbyhq.com/sierra/b7d1dbcd-ca72-472f-b15e-5b4b0f886be0	2026-04-28	ashby-api	Software Engineer, Agent	Sierra AI	added
https://jobs.ashbyhq.com/sierra/fed8ca9a-0bb7-44ef-a541-0be6a8ae7bba	2026-04-28	ashby-api	Product Manager, Agent Development (German speaking)	Sierra AI	added
https://jobs.ashbyhq.com/sierra/b3829801-8e0b-4047-8cd8-8a51c87028fd	2026-04-28	ashby-api	Software Engineer, Agent Architecture	Sierra AI	added
https://jobs.ashbyhq.com/sierra/548eccd8-85c7-4cfa-a145-1c6ba5c17dc2	2026-04-28	ashby-api	Strategist, Agent Development	Sierra AI	added
https://jobs.ashbyhq.com/sierra/38f06024-4ee9-47d6-a36f-f2791ac1e412	2026-04-28	ashby-api	Product Manager, Agent Development (French speaking)	Sierra AI	added
https://jobs.ashbyhq.com/sierra/4892f01e-8871-4b32-8963-527f1cf8db5d	2026-04-28	ashby-api	Product Manager, Agent Development (Spanish speaking)	Sierra AI	added
https://jobs.ashbyhq.com/sierra/9ebc3a79-82bf-478d-bd98-d473d41bdeaf	2026-04-28	ashby-api	Software Engineer, Agent (German speaking)	Sierra AI	added
https://jobs.ashbyhq.com/sierra/9d9e7d4a-2a27-4f64-9b1f-d79c5d3f129a	2026-04-28	ashby-api	Software Engineer, Agent (French speaking)	Sierra AI	added
https://jobs.ashbyhq.com/sierra/aadfc0a0-93f6-454b-9767-c24793fa3eff	2026-04-28	ashby-api	Software Engineer, Agent (Spanish speaking)	Sierra AI	added
https://jobs.ashbyhq.com/sierra/0ff928f7-cca0-4d2b-ae64-c07277ff5252	2026-04-28	ashby-api	Software Engineer, Agent (New Grad)	Sierra AI	added
https://jobs.ashbyhq.com/sierra/0c892d11-9f19-4b8d-9c2b-409346c52b7a	2026-04-28	ashby-api	Software Engineer, Agent Data Platform	Sierra AI	added
https://jobs.ashbyhq.com/sierra/2dee25a0-a0c1-425e-b67a-9d49fc821369	2026-04-28	ashby-api	TLM, Agent	Sierra AI	added
https://jobs.ashbyhq.com/sierra/8d46d44c-8294-4807-a6b1-5087f0506a38	2026-04-28	ashby-api	Strategist, Agent Development (Spanish speaking)	Sierra AI	added
https://jobs.ashbyhq.com/sierra/b1fc320b-d0d2-4ca5-9ce3-2ce8f51cf70e	2026-04-28	ashby-api	Strategist, Agent Development (French speaking)	Sierra AI	added
https://jobs.ashbyhq.com/sierra/2fdb200f-c5cf-420c-9997-5e5cea6e1e20	2026-04-28	ashby-api	Software Engineer, Agent Studio	Sierra AI	added
https://jobs.ashbyhq.com/sierra/6207b02d-d334-4000-b84e-2af779171838	2026-04-28	ashby-api	Software Engineer, Agent (Italian speaking)	Sierra AI	added
https://jobs.ashbyhq.com/sierra/9dc1651d-43e9-4970-a757-a5223cef1c4d	2026-04-28	ashby-api	Product Manager, Agent Development (Arabic speaking)	Sierra AI	added
https://jobs.ashbyhq.com/sierra/1045b1db-228b-40df-97d8-a8f9371d35bd	2026-04-28	ashby-api	Strategist, Agent Development (German speaking)	Sierra AI	added
https://jobs.ashbyhq.com/sierra/034c2c56-357f-4ed2-9da7-f4d36a999385	2026-04-28	ashby-api	Strategist, Agent Development (Arabic speaking)	Sierra AI	added
https://jobs.ashbyhq.com/sierra/edf44ab4-538b-4e65-b93c-392c950b9fe6	2026-04-28	ashby-api	Product Manager, Agent Development 	Sierra AI	added
